MDDS STC,STATE NAME,MDDS DTC,DISTRICT NAME,MDDS Sub_DT,SUB-DISTRICT NAME,MDDS PLCN,VILLAGE NAME
01,JAMMU & KASHMIR,001,Kupwara,00000,Kupwara,000000,Kupwara
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000000,Kupwara
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000001,Bore
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000002,Keran
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000003,Bugna
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000004,Bichwal
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000005,Mindiyan
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000006,Patrin
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000007,Juma Gund 
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000008,Khantha Wali (Shalun Bhatta)
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000009,Har Duing
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000010,Chunti Wari
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000011,Dudi
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000012,Dab Bal
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000013,Misri Behak
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000014,Machil
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000015,Push Wari
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000016,Khurhama
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000017,Sever Thendi Pora
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000018,Warnow 
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000019,Tekiya Khurhama
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000020,Kuligam
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000021,Maidan Pora
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000022,Sayiwan 
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000023,Daramwari
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000024,Lal Pora
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000025,Redi Nag
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000026,Dard Pora
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000027,Muqam Shrif Dar
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000028,Muqam Lolab
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000029,Hayat Pora
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000030,Rukh Gund Macher
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000031,Thun Doosa
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000032,Dever Inder Bug
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000033,Teki Pora
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000034,Drooch Wani
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000035,Chandi Gam
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000036,Chrali Gund
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000037,Sogam 
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000038,Tung Check
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000039,Gung Bug
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000040,Krohsan
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000041,Putushy
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000042,Gagal
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000043,Wavoora
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000044,Sorigam
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000045,Khanti Pora
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000046,Doni Wari
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000047,Cheeri Koot
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000048,Gundi  Jahangeer
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000049,Shumriyal
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000050,Khumriyal
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000051,Kalarooch
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000052,Zangli Kasheera
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000053,Manigah
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000054,Lashdat
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000055,Hayihama
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000056,Halmat Pora
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000057,Teker
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000058,Buhi Pora
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000059,Gund Gushi
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000060,Gushi
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000061,Batter Gam
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000062,Gulgam 
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000063,Checki Kaliloan
01,JAMMU & KASHMIR,001,Kupwara,00001,Kupwara,000064,Auwoora
