article_id,article_date,event,stanford_location,allen_location,stanford_date,heidal_date,best_location,best_date
10,2019-07-20T01:30:00.000Z,"Principal Secretary, Tourism & Industries, Navin Kumar Choudhary today reviewed the functioning of Tourism Department, Jammu here today.",,['Jammu'],2019-07-20,"[('2019-07-20', 'today'), ('2019-07-20', 'today')]",1,2
10,2019-07-20T01:30:00.000Z,"Principal Secretary, Tourism & Industries, Navin Kumar Choudhary enquired about various infrastructure development projects in Jammu Province taken up under different schemes viz.",['Province'],,,[],1,2
11,2019-07-20T01:30:00.000Z,"Inspects Railway project, Yatra arrangements Divisional Commissioner (Div Com), Jammu, Sanjeev Verma chaired a high level meeting at Ramban to review the progress of ongoing railway and NH-44 Four Laning projects besides the arrangements for Yatra.",,"['Jammu', 'Ramban', 'Yatra']",,[],1,2
14,2019-07-20T01:30:00.000Z,Police on Friday arrested three individuals involved in physically abusing minor girl inside Dal Lake.,['Dal Lake'],,2019-07-20,"[('2019-07-19', 'Friday')]",0,1
14,2019-07-20T01:30:00.000Z,An official told CNS that Police Station Nigeen received a complaint that minor girl has been physically abused inside Dal Lake.,['Dal Lake'],,,[],0,2
15,2019-07-20T01:30:00.000Z,"Will float fresh tenders in coming months: SE LAWDA More than seven years have passed but the Lakes and Waterways Development Authority (LAWDA) has failed to carry out dredging of Shalimar channel, which now is craving for existence.",,,2019-07-20,[],2,1
16,2019-07-20T01:30:00.000Z,"Senior party leaders, functionaries pledge to take party’s mission forward A day-long workers convention of Khanyar assembly segment was held on Friday by party’s with senior party leaders and functionaries attending A day-long workers convention of Khanyar assembly segment.",['Khanyar'],,2019-07-20,"[('2019-07-19', 'Friday')]",0,1
20,2019-07-20T01:30:00.000Z,The stray dog menace continues to unleash terror among the people in this border town of north Kashmir’s Baramulla district as two persons became fresh victims to the canine bite on Friday morning.,"['Baramulla', 'Kashmir']",['Baramulla'],2019-07-20,"[('2019-07-19', 'Friday morning')]",,
20,2019-07-20T01:30:00.000Z,"Last week, six persons sustained injuries in a dog bite incident in the area.",,,2019-07-20,[],,
31,2019-07-20T01:30:00.000Z,"State has witnessed an increase in road accidents and 1006 persons died in mishaps last year, reveals the data of the State Crime Record Bureau (SCRB) for 2018.",,,2018-01-01,[],,
31,2019-07-20T01:30:00.000Z,According to the data of the State Crime Record Bureau (SCRB) for 2018 1006 persons died in road accidents in 2018.,,,2018-01-01,[],,
54,2019-07-20T06:31:51.000Z,Throat-slit body of 45-year-old man found in Anantnag.,,['Anantnag'],,[],,
54,2019-07-20T06:31:51.000Z,"Srinagar: Police on Saturday recovered Throat-slit body of 45-year-old man 45-year-old man under mysterious conditions near Shivhard, Panzgam in Kokernag area of south Kashmir’s Anantnag district.","['Kashmir', 'Kokernag', 'Panzgam', 'Shivhard']","['Throat', 'Srinagar']",2019-07-20,"[('2019-07-20', 'Saturday')]",,
56,2019-07-20T06:38:02.000Z,Naib Sarpanch injured in cross LoC firing in Poonch.,['Poonch'],['Poonch'],,[],,
56,2019-07-20T06:38:02.000Z,Poonch Naib Sarpanch was injured as armies of Pakistan and India on Saturday traded shelling along the Line of Control in Poonch district of Jammu and Kashmir.,"['Kashmir', 'Poonch']",,2019-07-20,"[('2019-07-20', 'Saturday')]",,
71,2019-07-20T08:23:15.000Z,Priyanka Gandhi detention: Cong workers stage protest in Jaipur.,,['Jaipur'],,[],,
71,2019-07-20T08:23:15.000Z,Jaipur : Congress workers and leaders Saturday staged a sit-in here against the detention of Priyanka Gandhi when Priyanka Gandhi was going to meet families of the Sonbhadra clash victims.,,,2019-07-20,"[('2019-07-20', 'Saturday')]",,
72,2019-07-20T08:59:13.000Z,Srinagar: The Peoples Democratic Party (PDP) President Mehbooba Mufti on Saturday dissolved The Peoples Democratic Party (PDP)'s Political Affairs Committee (PAC).,,['Srinagar'],2019-07-20,"[('2019-07-20', 'Saturday')]",,
72,2019-07-20T08:59:13.000Z,Reports said that The Peoples Democratic Party (PDP) will reconstituted party’s Political Affairs Committee (PAC) in near future.,,,2019-07-20,[],,
77,2019-07-20T09:40:00.000Z,India and Pakistani troops on Saturday exchanged gunfire along the Line of Control (LoC) in Poonch district.,['Poonch'],"['Poonch', 'India']",2019-07-20,"[('2019-07-20', 'Saturday')]",,
77,2019-07-20T09:40:00.000Z,"India and Pakistani troops exchanged gunfire and mortars in Mendhar, Mankote and Krishna Ghati sectors of Poonch district, reports said.","['Mendhar', 'Poonch', 'Mankote']","['Mankote', 'Poonch', 'Krishna Ghati', 'India', 'Mendhar']",,[],,
84,2019-07-20T10:17:00.000Z,"A fresh batch of 4094 yatris on Saturday left for the Amarnath cave in South of Himalayas from Yatri Niwas, Bhagwati Nagar base camp here.",['Himalayas'],,2019-07-20,"[('2019-07-20', 'Saturday')]",,
86,2019-07-20T10:30:52.000Z,New Delhi: Former Delhi chief minister and senior Congress leader Sheila Dikshit passed away in Delhi on Saturday.,,,2019-07-20,"[('2019-07-20', 'Saturday')]",,
86,2019-07-20T10:30:52.000Z,Former Delhi chief minister and senior Congress leader Sheila Dikshit was 81.,,['Delhi'],,[],,
93,2019-07-20T11:25:00.000Z,A man was found dead at at Shivhad Panzgam village of Kokernag area in south Kashmir's Anantnag district on Saturday.,"['Shivhad Panzgam', 'south Kashmir', 'Kokernag']","['Kokernag', 'Anantnag']",2019-07-20,"[('2019-07-20', 'Saturday')]",,
96,2019-07-20T11:31:08.000Z,"NEW DELHI — Former Delhi chief minister Sheila Dikshit passed away Saturday at a private hospital here, Former Delhi chief minister Sheila Dikshit's family and the party said.Former Delhi chief minister Sheila Dikshit was 81.She was admitted to Escorts hospital a few days ago.Former Delhi chief minister Sheila Dikshit breathed Former Delhi chief minister Sheila Dikshit last around 3.55 p.m.",['Former'],"['Delhi', 'NEW DELHI']",2019-07-20,"[('2019-07-20', 'Saturday')]",,
117,2019-07-20T14:18:00.000Z,President Peoples Democratic Party (PDP) Mehbooba Mufti on Saturday dissolved party’s Political Affairs Committee (PAC).,,,2019-07-20,"[('2019-07-20', 'Saturday')]",,
117,2019-07-20T14:18:00.000Z,"According to the party spokesman, party’s Political Affairs Committee (PAC) will be reconstituted in near future.",,,2019-07-20,[],,
119,2019-07-20T14:27:00.000Z,Government forces on Saturday conducted searches in south Kashmir district of Anantnag.,['Kashmir'],['Anantnag'],2019-07-20,"[('2019-07-20', 'Saturday')]",,
121,2019-07-20T14:37:00.000Z,"Madhya Pradesh Governor Anandi Ben Patel will now be the new Governor of Uttar Pradesh while Lal Ji Tandon, who is the Governor of Bihar, has been shifted to Madhya Pradesh.","['Madhya Pradesh', 'Uttar Pradesh']","['Madhya Pradesh', 'Uttar Pradesh', 'Bihar']",2019-07-20,[],,
121,2019-07-20T14:37:00.000Z,"Phagu Chauhan will be the Governor of Bihar replacing Lal Ji Tandon, who is the Governor of Bihar.",,['Bihar'],,[],,
123,2019-07-20T14:45:00.000Z,The first-ever provincial elections began Sunday in Pakistan's erstwhile semi-autonomous tribal region bordering Afghanistan that was once a stronghold of various militant groups like the Taliban and the al-Qaida.,,"['Afghanistan', 'Pakistan']",2019-07-20,"[('2019-07-14', 'Sunday')]",,
172,2019-07-20T18:50:30.000Z,Kansal reviews progress on externally funded infrastructure projects,,['Kansal'],,[],,
185,2019-07-20T19:11:55.000Z,Says new political parties in Kashmir are agents of New Delhi,['Kashmir'],['New Delhi'],,[],,
208,2019-07-21T09:10:24.000Z,"Srinagar: A teenager was killed in a road accident after an oil tanker hit a scooty in south Kashmir district of Shopian, official sources said on Sunday.","['Shopian', 'Kashmir']","['Shopian', 'Srinagar']",2019-07-21,"[('2019-07-21', 'Sunday')]",,
208,2019-07-21T09:10:24.000Z,A teenager was identified as A teenagersouth Kashmir district of Shopian.,"['Shopian', 'Kashmir']",,,[],,
209,2019-07-21T09:10:24.000Z,"Srinagar: A teenager was killed in a road accident after an oil tanker hit a scooty in south Kashmir district of Shopian, official sources said on Sunday.","['Shopian', 'Kashmir']","['Shopian', 'Srinagar']",2019-07-21,"[('2019-07-21', 'Sunday')]",,
209,2019-07-21T09:10:24.000Z,A teenager was identified as A teenagersouth Kashmir district of Shopian.,"['Shopian', 'Kashmir']",,,[],,
309,2019-07-22T15:01:42.000Z,"Srinagar: A vehicle rolled down into a gorge at Zojila area of Sonamarg on Srinagar- Ladakh highway on Monday evening, reports said.","['Sonamarg', 'Zojila', 'Ladakh']",,2019-07-22,"[('2019-07-22', 'Monday evening')]",,
309,2019-07-22T15:01:42.000Z,A police source said that an Innova vehicle bearing registration number JK13C-0831 rolled down into a gorge at Zojila area of Sonamarg on Srinagar- Ladakh highwayZojila area of Sonamarg.,"['Sonamarg', 'Zojila', 'Ladakh']",,,[],,
331,2019-07-22T19:03:07.000Z,Vehicle rolls down into gorge near Zojila.,['Zojila'],['Zojila'],,[],,
331,2019-07-22T19:03:07.000Z,"Srinagar, Jul 22: A vehicle rolled down into gorge near Zojila on Monday evening.",['Zojila'],,2019-07-22,"[('2019-07-22', 'Jul 22'), ('2019-07-22', 'Monday evening')]",,
332,2019-07-22T19:04:51.000Z,Another batch of 608 Hajj pilgrims leave for Saudi Arabia.,,['Saudi Arabia'],,[],,
332,2019-07-22T19:04:51.000Z,"Budgam, Jul 22: Another batch of 608 Hajj pilgrims left for Saudi Arabia in four flights from Srinagar International Airport on Monday.","['Budgam', 'International Airport']",,2019-07-22,"[('2019-07-22', 'Jul 22'), ('2019-07-22', 'Monday')]",,
