article_id,event,location_prediction,date_prediction,event_type
0,Congress workers Friday held a protest here against the detention of party leader Priyanka Gandhi Vadra by police in Uttar Pradesh's Mirzapur district.,['Uttar Pradesh'],2019-07-20,protest
0,"party leader Priyanka Gandhi Vadra was on Friday detained and stopped from going to Sonbhadra where 10 people were gunned down this week and taken to a guesthouse after party leader Priyanka Gandhi Vadra squatted on the road, insisting that party leader Priyanka Gandhi Vadra be allowed to proceed.",['Sonbhadra'],2019-07-20,protest
1,"Deputy Commissioner Doda, Dr Sagar D Doifode flagged off 2nd batch of 61 Hajj pilgrims, here today.",[''],2019-07-20,off
1,"ADDC Doda Imam Din, SSP Doda Shabir Ahmed Malik, ACR Doda Kaiser Ahmed Bhawani, team of civil and police officers, besides a large number of people were present to see off 2nd batch of 61 Hajj pilgrims.",[''],2019-07-20,off
2,"The status of Shahpur Kandi and Ujh Multipurpose projects, besides physical and financial progress under BADP was reviewed by the Deputy Commissioner, Dr. Raghav Langer today, here at a meeting of the concerned agencies.",[''],2019-07-20,execution
2,"Terming Shahpur Kandi and Ujh Multipurpose projects as flagship projects with potential of becoming game changer for Kathua district, the Deputy Commissioner, Dr. Raghav Langer stressed on removing bottlenecks, if any, for timely execution of Shahpur Kandi and Ujh Multipurpose projects.",[''],2019-07-20,execution
2,"the Deputy Commissioner, Dr. Raghav Langer further asked for maintaining close coordination among different departments and stakeholders associated with Shahpur Kandi and Ujh Multipurpose projects.",[''],2019-07-20,execution
3,"US forces were present in the kingdom for 12 years, starting with Operation Desert Storm in 1991, when former Iraqi dictator Saddam Hussein invaded Kuwait.At the peak of the war with IraqIraq , 200 US aircraft were stationed at the Prince Sultan Air Base, located in a desert area east of the Saudi capital Riyadh.",['Air Base'],1991-01-01,onset
3,"As many as 2,700 missions a day were also handled by the headquarters in the kingdom.Since 2015, the United States has been supporting a a Saudi-led war against Yemen that seeks to reinstall Yemen's former Riyadh-backed officials.",['Air Base'],2015-01-01,onset
3,some of THAAD interceptor missiles are set to be delivered to the kingdomthe United States's .The arms exports and deployment of troops come against the backdrop of rising tensions between Iran and the United States in the Persian Gulf.,['Air Base'],2015-01-01,onset
4,Coolidge (Antigua): Axar Patel&#8217;s rearguard heroics went in vain as India A suffered a narrow five-run loss against West Indies A in the fourth unofficial ODI of the five-match series here.,"['West Indies', 'Antigua']",2019-07-20,defeat
4,"With the five-match series here already in pocket after winning the first three games, India A tasted India A's first defeat in the tour on Friday despite [&#8230;]","['West Indies', 'Antigua']",2019-07-20,defeat
6,"ISLAMABAD — Pakistan Prime Minister Imran Khan, accompanied by a high ranking delegation that includes Army and Spy agency chiefs, on Saturday began Pakistan Prime Minister Imran Khan's 3-day visit to the United States.Pakistan Prime Minister Imran Khan chose to fly to the United States via Qatar Airways in a bid to ""save taxpayer money,"" said Special Advisor to Pakistan Prime Minister Imran Khan Naeemul Haq.Foreign Minister Shah Mehmood Qureshi confirmed that Chief of the Army Staff Gen Qamar Javed Bajwa will accompany Pakistan Prime Minister Imran Khan.Briefing the Pakistani media on his 3-day visit to the United States, Foreign Minister Shah Mehmood Qureshi said the director general of the Inter-Services Intelligence (ISI) would also come to Washington with Pakistan Prime Minister Imran Khan.",['United States.Pakistan'],2019-07-20,take
6,"""FM Qureshi said the PM's decision to bring top military officials to Washington was ""a good omen"" for Pakistan when asked about the PM's decision to bring top military officials to Washingtonthe PM's.",['United States.Pakistan'],2019-07-20,take
6,"Foreign Minister Shah Mehmood Qureshi said: ""You know what was being said before.",['United States.Pakistan'],2019-07-20,take
6,"The political government wants a certain thing, the establishment does not... that there's disconnect between the civilian and the military establishments... that the civilian and the military establishments are not on the same page.",['United States.Pakistan'],2019-07-20,take
6,"Alhamdolillah, there's no disconnect today.",['United States.Pakistan'],2019-07-20,take
6,"Both civil and military leaders are focusing on Pakistan's interests, on the challenges before Pakistan,"" Foreign Minister Shah Mehmood Qureshi added.",['United States.Pakistan'],2019-07-20,take
6,"""We are moving ahead.",['United States.Pakistan'],2019-07-20,take
6,Pakistan are grateful to Pakistan's forces for such a responsible approach.,['United States.Pakistan'],2019-07-20,take
6,"""Diplomatic sources told Dawn that Pakistan Prime Minister Imran Khan and Pakistan Prime Minister Imran Khan's team would spend almost three hours at the White House, meeting President Trump and President Trump's aides.Foreign Minister Shah Mehmood Qureshi said Pakistan Prime Minister Imran Khan would arrive at the White House on Monday morning and after the book signing ceremony, Pakistan Prime Minister Imran Khan would attend two sessions, a small group meeting and an extended meeting.",['White House'],2019-07-20,take
6,a small group meeting would be in the Oval Office and an extended meeting in the cabinet room.,['Oval Office'],2019-07-20,take
6,Pakistan Prime Minister Imran Khan would also have a one-on-one meeting with President Trump.,['Oval Office'],2019-07-20,take
6,"President Trump would accompany Pakistan Prime Minister Imran Khan on a the White House tour that would give them more time ""to mingle and chat"", Foreign Minister Shah Mehmood Qureshi said.Pakistan Prime Minister Imran Khan arrives in Washington on Saturday afternoon on a commercial flight and would stay at the ambassador's residence in Washington's diplomatic enclave.On Sunday, Pakistan Prime Minister Imran Khan would meet IMF chief David Lipton and IMF chief David Lipton's delegation and would later have a similar meeting with the World Bank president.",['Oval Office'],2019-07-20,take
6,"Later in the evening, Pakistan Prime Minister Imran Khan would attend a community event at Washington's Capital One Arena.",['Capital One Arena'],2019-07-20,take
6,"""We are expecting between 15,000 and 20,000 people,"" said chief organizer of a community event Dr Abdullah Riar.Pakistan Prime Minister Imran Khan's other engagements include a meeting of Pakistani-Americans investors, media interviews, addressing the US-Pakistani Business Council and a dinner meeting with selected leaders of the United States's corporate sector.",['Capital One Arena'],2019-07-20,take
6,"""This summit-level interaction is happening after a five-year gap.",['Capital One Arena'],2019-07-20,take
6,"In a five-year gap, bilateral relations got from bad to worse,"" said Foreign Minister Shah Mehmood Qureshi, crediting Pakistan Prime Minister Imran Khan for halting got.",['Capital One Arena'],2019-07-20,take
7,Srinagar: Defence Minister of India Rajnath Singh Saturday said that resolution of Kashmir issue is on the cards and that “no power on the earth can stop resolution of Kashmir issue”.,['Kashmir'],2019-07-20,take
7,"&#8220;Resolution of Kashmir issue will take place soon,&#8221; Defence Minister of India Rajnath Singh said before inaugurating a 1,000 meters long bridge over river Ujh in border Kathua district in Jammu and [&#8230;]",['Kashmir'],2019-07-20,take
8,JAMMU — A Kashmiri Pandit delegation pursuing return of 419 families to the Valley has demanded 419 families's settlement in six districts across Kashmir.,['Kashmir'],2019-07-20,down
8,"A Kashmiri Pandit delegation pursuing return of 419 families to the Valley met Union Minister of State for Home G K Reddy and also the BJP’s national vice-president and incharge Kashmir affairs, Avinash Rai Khanna.",['Kashmir'],2019-07-20,down
8,"A Kashmiri Pandit delegation pursuing return of 419 families to the Valley submitted a detailed memorandum to Union Minister of State for Home G K Reddy and also the BJP’s national vice-president and incharge Kashmir affairs, Avinash Rai Khanna the BJP’s national vice-president and incharge Kashmir affairs, Avinash Rai Khanna with a primary focus on allowing 419 families to settle down in six districts of Kashmir instead of in proposed separate colonies.",['Kashmir'],2019-07-20,down
8,“A Kashmiri Pandit delegation pursuing return of 419 families to the Valley met MoS Home in New Delhi and discussed A Kashmiri Pandit delegation pursuing return of 419 families to the Valley's proposal for the safe return to Kashmir.,['Kashmir'],2019-07-20,down
8,"The meeting lasted for almost an hour and A Kashmiri Pandit delegation pursuing return of 419 families to the Valley told MoS Home that Kashmiri Pandits yearn to return to Kashmiri Pandits's homeland after almost three decades,” said Kashmiri Pandit activist Satish Mahaldar said.",['Kashmir'],2019-07-20,down
