news_id,article_id,article_title,date_prediction,event,event_type
0,0,JK Cong protests against detention of Priyanka Gandhi in UP,"[('2019-07-19', 'Friday')]",Congress workers Friday held a protest here against the detention of party leader Priyanka Gandhi Vadra by police in Uttar Pradesh's Mirzapur district.,protest
1,0,JK Cong protests against detention of Priyanka Gandhi in UP,"[('2019-07-19', 'Friday')]","party leader Priyanka Gandhi Vadra was on Friday detained and stopped from going to Sonbhadra where 10 people were gunned down this week and taken to a guesthouse after party leader Priyanka Gandhi Vadra squatted on the road, insisting that party leader Priyanka Gandhi Vadra be allowed to proceed.",protest
2,1,DC Doda flags off Hajj pilgrims,"[('2019-07-20', 'today')]","Deputy Commissioner Doda, Dr Sagar D Doifode flagged off 2nd batch of 61 Hajj pilgrims, here today.",off
3,1,DC Doda flags off Hajj pilgrims,[],"ADDC Doda Imam Din, SSP Doda Shabir Ahmed Malik, ACR Doda Kaiser Ahmed Bhawani, team of civil and police officers, besides a large number of people were present to see off 2nd batch of 61 Hajj pilgrims.",off
4,2,"DC reviews progress on Shahpur Kandi, Ujh Multipurpose projects","[('2019-07-20', 'today')]","The status of Shahpur Kandi and Ujh Multipurpose projects, besides physical and financial progress under BADP was reviewed by the Deputy Commissioner, Dr. Raghav Langer today, here at a meeting of the concerned agencies.",execution
5,2,"DC reviews progress on Shahpur Kandi, Ujh Multipurpose projects",[],"Terming Shahpur Kandi and Ujh Multipurpose projects as flagship projects with potential of becoming game changer for Kathua district, the Deputy Commissioner, Dr. Raghav Langer stressed on removing bottlenecks, if any, for timely execution of Shahpur Kandi and Ujh Multipurpose projects.",execution
6,2,"DC reviews progress on Shahpur Kandi, Ujh Multipurpose projects",[],"the Deputy Commissioner, Dr. Raghav Langer further asked for maintaining close coordination among different departments and stakeholders associated with Shahpur Kandi and Ujh Multipurpose projects.",execution
7,3,King Salman OK's Deployment Of 500 US Troops In Saudi Arabia,"[('2019-07-18', 'Thursday')]","RIYADH — Saudi King Salman has approved hosting of hundreds of US troops in the kingdom amid rising tensions in the region between the United States and Iran.According to the kingdom's defense ministry, Saudi King Salman has given Saudi King Salman's approval “based on mutual cooperation between the kingdom and the United States” and the United States's “desire to enhance everything that could preserve the security of the region between the United States and Iran and the region between the United States and Iran's stability.”CNN reported on Thursday that around 500 troops were expected to be dispatched to the Prince Sultan Air Base, located in a desert area east of RIYADH.Two US military officials told ”CNN that a small number of troops and support personnel are already in the Prince Sultan Air Base, located in a desert area east of the Saudi capital Riyadh, with initial preparations being made for a US-made Patriot missile system as well as runway and airfield improvements.the United States is expected to fly stealth, fifth-generation F-22 jets and other fighters from the Prince Sultan Air Base, located in a desert area east of the Saudi capital Riyadh, Two US military officials said.the kingdom has not hosted US forces since 2003 when US forces pulled out following the end of the war with Iraq.",onset
8,3,King Salman OK's Deployment Of 500 US Troops In Saudi Arabia,[],"US forces were present in the kingdom for 12 years, starting with Operation Desert Storm in 1991, when former Iraqi dictator Saddam Hussein invaded Kuwait.At the peak of the war with IraqIraq , 200 US aircraft were stationed at the Prince Sultan Air Base, located in a desert area east of the Saudi capital Riyadh.",onset
9,3,King Salman OK's Deployment Of 500 US Troops In Saudi Arabia,[],"As many as 2,700 missions a day were also handled by the headquarters in the kingdom.Since 2015, the United States has been supporting a a Saudi-led war against Yemen that seeks to reinstall Yemen's former Riyadh-backed officials.",onset
