village,district,state
Kupwara,Kupwara,JAMMU & KASHMIR
Kupwara,Kupwara,JAMMU & KASHMIR
Bore,Kupwara,JAMMU & KASHMIR
Keran,Kupwara,JAMMU & KASHMIR
Bugna,Kupwara,JAMMU & KASHMIR
Bichwal,Kupwara,JAMMU & KASHMIR
Mindiyan,Kupwara,JAMMU & KASHMIR
Patrin,Kupwara,JAMMU & KASHMIR
Juma Gund ,Kupwara,JAMMU & KASHMIR
Khantha Wali (Shalun Bhatta),Kupwara,JAMMU & KASHMIR
Har Duing,Kupwara,JAMMU & KASHMIR
Chunti Wari,Kupwara,JAMMU & KASHMIR
Dudi,Kupwara,JAMMU & KASHMIR
Dab Bal,Kupwara,JAMMU & KASHMIR
Misri Behak,Kupwara,JAMMU & KASHMIR
Machil,Kupwara,JAMMU & KASHMIR
Push Wari,Kupwara,JAMMU & KASHMIR
Khurhama,Kupwara,JAMMU & KASHMIR
Sever Thendi Pora,Kupwara,JAMMU & KASHMIR
Warnow ,Kupwara,JAMMU & KASHMIR
Tekiya Khurhama,Kupwara,JAMMU & KASHMIR
Kuligam,Kupwara,JAMMU & KASHMIR
Maidan Pora,Kupwara,JAMMU & KASHMIR
Sayiwan ,Kupwara,JAMMU & KASHMIR
Daramwari,Kupwara,JAMMU & KASHMIR
Lal Pora,Kupwara,JAMMU & KASHMIR
Redi Nag,Kupwara,JAMMU & KASHMIR
Dard Pora,Kupwara,JAMMU & KASHMIR
Muqam Shrif Dar,Kupwara,JAMMU & KASHMIR
Muqam Lolab,Kupwara,JAMMU & KASHMIR
Hayat Pora,Kupwara,JAMMU & KASHMIR
Rukh Gund Macher,Kupwara,JAMMU & KASHMIR
Thun Doosa,Kupwara,JAMMU & KASHMIR
Dever Inder Bug,Kupwara,JAMMU & KASHMIR
Teki Pora,Kupwara,JAMMU & KASHMIR
Drooch Wani,Kupwara,JAMMU & KASHMIR
Chandi Gam,Kupwara,JAMMU & KASHMIR
Chrali Gund,Kupwara,JAMMU & KASHMIR
Sogam ,Kupwara,JAMMU & KASHMIR
Tung Check,Kupwara,JAMMU & KASHMIR
Gung Bug,Kupwara,JAMMU & KASHMIR
Krohsan,Kupwara,JAMMU & KASHMIR
Putushy,Kupwara,JAMMU & KASHMIR
Gagal,Kupwara,JAMMU & KASHMIR
Wavoora,Kupwara,JAMMU & KASHMIR
Sorigam,Kupwara,JAMMU & KASHMIR
Khanti Pora,Kupwara,JAMMU & KASHMIR
Doni Wari,Kupwara,JAMMU & KASHMIR
Cheeri Koot,Kupwara,JAMMU & KASHMIR
Gundi  Jahangeer,Kupwara,JAMMU & KASHMIR
Shumriyal,Kupwara,JAMMU & KASHMIR
Khumriyal,Kupwara,JAMMU & KASHMIR
Kalarooch,Kupwara,JAMMU & KASHMIR
Zangli Kasheera,Kupwara,JAMMU & KASHMIR
Manigah,Kupwara,JAMMU & KASHMIR
Lashdat,Kupwara,JAMMU & KASHMIR
Hayihama,Kupwara,JAMMU & KASHMIR
Halmat Pora,Kupwara,JAMMU & KASHMIR
Teker,Kupwara,JAMMU & KASHMIR
Buhi Pora,Kupwara,JAMMU & KASHMIR
Gund Gushi,Kupwara,JAMMU & KASHMIR
Gushi,Kupwara,JAMMU & KASHMIR
Batter Gam,Kupwara,JAMMU & KASHMIR
Gulgam ,Kupwara,JAMMU & KASHMIR
Checki Kaliloan,Kupwara,JAMMU & KASHMIR
Auwoora,Kupwara,JAMMU & KASHMIR
Alchi Zab,Kupwara,JAMMU & KASHMIR
Kawari,Kupwara,JAMMU & KASHMIR
Zurhama,Kupwara,JAMMU & KASHMIR
Marhama,Kupwara,JAMMU & KASHMIR
